OBJECTNUMMER;Code;Locatie;Type_meetpunt;Type_meting;Meting_op_wettelijke_toetsafst;Afstand_tot_gevel_m;jaar_2020;jaar_2019;jaar_2018;jaar_2017;jaar_2016;jaar_2015;jaar_2014;jaar_2013;jaar_2012;jaar_2011;jaar_2010;LNG;LAT
119;CVT9;Catharina van Tussenbroekstraat 9;Achtergrond;Palmes;;0;0;20,6;21,3;25,2;25,1;23,2;26,9;25,4;26,5;0;26,1;4,963905;52,320493
120;BIJL738;Bijlmerdreef 738;Straat;Palmes;Nee;17,4;0;33,8;35,6;37,9;39,2;35,8;37,4;37,6;40,7;41,9;42,3;4,964205;52,319593
121;T4;Mary van der Sluisstraat/hoek Kea Bouwmanstraat;Waterweg;Palmes;Nee;1,5;0;27,2;0;0;0;0;0;0;0;0;0;4,964805;52,376293
122;KORT100;Kortvoort 100;Achtergrond;Palmes;Nee;17,4;0;20,3;21,2;24,9;23;20,3;20,6;20,6;23,3;22,3;25,7;4,968705;52,314793
123;T6;Geertje Wielenplein (Ijburgcollege 2);Achtergrond;Palmes;;0;0;25,6;0;0;0;0;0;0;0;0;0;4,968705;52,372093
124;T3;Leo Hornstraat 303;Snelweg;Palmes;Nee;14;0;31,3;0;0;0;0;0;0;0;0;0;4,971105;52,372093
125;T7;Zwanenbloemlaan 38;Achtergrond;Palmes;;0;0;19,4;0;0;0;0;0;0;0;0;0;4,991105;52,356093
126;T8;IJburglaan 866;Straat;Palmes;Nee;7;0;24;0;0;0;0;0;0;0;0;0;4,996105;52,354593
127;T9;Ijburglaan 564;Straat;Palmes;Ja;0;0;21,1;0;0;0;0;0;0;0;0;0;4,989415;52,357973
128;LOK15;Paal kop Westhavenweg,;Waterweg;Palmes;;0;0;32,1;0;0;0;0;0;0;0;0;0;4,821865;52,418611
129;ESW/G;A10- West aan balkon Jephtastraat;Snelweg;Palmes;Nee;1,5;0;34,6;38,7;40,5;41,2;0;0;0;0;0;0;4,845285;52,381333
130;A10 ZUID ;A10-Zuid bij voormalig automatisch meetstation GGD;Snelweg;Palmes;Nee;0;0;45,9;43,3;56,2;0;0;0;0;0;0;0;4,898395;52,333703
131;AD7;Adelaarsstraat 7;Straat;Palmes;Nee;3;0;33;39;42,9;0;0;0;0;0;0;0;4,911455;52,384033
132;AD14;Adelaarsstraat 14;Straat;Palmes;Nee;3;0;29,7;34;39,1;0;0;0;0;0;0;0;4,911975;52,384423
133;LOK14;Hoek Noordzeekanaal/Amerikahaven;Waterweg;Palmes;;0;0;26;0;0;0;0;0;0;0;0;0;4,774418;52,425378
134;HLW/OM;GGD meetstation Haarlemmerweg ;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,875805;52,385393
135;NDD/OM;GGD meetstation Nieuwendammerdijk;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,943805;52,389293
136;ESW;GGD meetstation A10-West;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,845225;52,381333
137;VDS;GGD meetstation van Diemenstraat;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,887805;52,389993
138;OVT/OM/E1;GGD meetstation Vondelpark ;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,866305;52,359693
139;STDK/OM;GGD meetstation Stadhouderskade;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,899705;52,357993
140;OS;GGD meetstation Oudeschans;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,904605;52,372093
141;JVG/MS;GGD meetstation Jan van Galenstraat;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,860405;52,374793
142;KANT;GGD meetstation Kantershof;Meetstation;Automatisch meetnet;;0;0;0;0;0;0;0;0;0;0;0;0;4,988405;52,320693
